position,edge_id,osm_way_id,osm_url,piece_index,direction,from_node,to_node,name,highway,travelled_m,route_start_m,route_end_m,entered,start_elevation_m,end_elevation_m,net_dz_m,descent_m,ascent_m,mean_grade_ratio,surface_class,surface_is_assumed,usability,usability_reason,structure_status,start_lat,start_lon,end_lat,end_lon,tag_bridge,tag_tunnel,tag_covered,tag_layer,tag_tracktype,tag_surface,tag_smoothness
11,osm-234171512-0-forward,234171512,https://www.openstreetmap.org/way/234171512,0,forward,2424670050,254500245,Rond-Point des Pistes,residential,17.85,2688.48,2706.33,True,1856.14,1855.22,-0.92,0.92,0.0,-0.05161,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.097073,6.069811,45.096919,6.069875,,,,,,asphalt,
12,osm-40188688-0-forward,40188688,https://www.openstreetmap.org/way/40188688,0,forward,254500245,340039361,Rue du Pic Blanc,residential,121.07,2706.33,2827.4,True,1855.22,1848.91,-6.31,6.31,0.0,-0.05219,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.096919,6.069875,45.095878,6.070324,,,,,,asphalt,
13,osm-222918435-0-forward,222918435,https://www.openstreetmap.org/way/222918435,0,forward,340039361,9580296724,D 211F,secondary,10.41,2827.4,2837.81,True,1848.91,1848.34,-0.57,0.57,0.0,-0.05482,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.095878,6.070324,45.095788,6.070358,,,,,,asphalt,
14,osm-1306494913-0-forward,1306494913,https://www.openstreetmap.org/way/1306494913,0,forward,9580296724,6795986757,D 211F,secondary,10.33,2837.81,2848.15,True,1848.34,1847.77,-0.57,0.57,0.0,-0.05524,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.095788,6.070358,45.095699,6.070398,,,,,,asphalt,
15,osm-1306494907-0-forward,1306494907,https://www.openstreetmap.org/way/1306494907,0,forward,6795986757,2697699354,D 211F,secondary,3.66,2848.15,2851.81,True,1847.77,1847.59,-0.18,0.18,0.0,-0.04926,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.095699,6.070398,45.095669,6.070416,,,,,,asphalt,
16,osm-264100535-0-forward,264100535,https://www.openstreetmap.org/way/264100535,0,forward,2697699354,340070613,D 211F,secondary,118.75,2851.81,2970.55,True,1847.59,1839.95,-7.64,7.64,0.0,-0.06447,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.095669,6.070416,45.094654,6.070872,,,,,,asphalt,
17,osm-264100535-1-forward,264100535,https://www.openstreetmap.org/way/264100535,1,forward,340070613,11482749313,D 211F,secondary,17.04,2970.55,2987.59,True,1839.95,1838.79,-1.16,1.16,0.0,-0.06824,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.094654,6.070872,45.094508,6.070937,,,,,,asphalt,
18,osm-264100535-2-forward,264100535,https://www.openstreetmap.org/way/264100535,2,forward,11482749313,340070629,D 211F,secondary,47.99,2987.59,3035.58,True,1838.79,1835.82,-2.97,2.97,0.0,-0.06201,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.094508,6.070937,45.094101,6.071138,,,,,,asphalt,
19,osm-264100535-3-forward,264100535,https://www.openstreetmap.org/way/264100535,3,forward,340070629,312583640,D 211F,secondary,49.89,3035.58,3085.47,True,1835.82,1832.12,-3.7,3.7,0.0,-0.07437,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.094101,6.071138,45.093683,6.071365,,,,,,asphalt,
20,osm-264100535-4-forward,264100535,https://www.openstreetmap.org/way/264100535,4,forward,312583640,2697699472,D 211F,secondary,63.84,3085.47,3149.31,True,1832.12,1827.97,-4.15,4.15,0.0,-0.06515,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.093683,6.071365,45.09315,6.071665,,,,,,asphalt,
21,osm-264100535-5-forward,264100535,https://www.openstreetmap.org/way/264100535,5,forward,2697699472,11482748516,D 211F,secondary,14.83,3149.31,3164.14,True,1827.97,1827.01,-0.96,0.96,0.0,-0.06487,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.09315,6.071665,45.093029,6.071742,,,,,,asphalt,
22,osm-264100535-6-forward,264100535,https://www.openstreetmap.org/way/264100535,6,forward,11482748516,2697699361,D 211F,secondary,17.97,3164.14,3182.11,True,1827.01,1825.73,-1.28,1.28,0.0,-0.0714,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.093029,6.071742,45.092883,6.07184,,,,,,asphalt,
23,osm-264100533-0-forward,264100533,https://www.openstreetmap.org/way/264100533,0,forward,2697699361,340047764,D 211F,secondary,26.17,3182.11,3208.28,True,1825.73,1824.09,-1.64,1.64,0.0,-0.06279,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.092883,6.07184,45.092648,6.071855,,,,,,asphalt,
24,osm-1040486385-0-forward,1040486385,https://www.openstreetmap.org/way/1040486385,0,forward,340047764,9580296743,Rond-Point du Tour de France,secondary,1.68,3208.28,3209.96,True,1824.09,1823.96,-0.13,0.13,0.0,-0.0777,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.092648,6.071855,45.092634,6.071848,,,,,,asphalt,
25,osm-264100597-0-forward,264100597,https://www.openstreetmap.org/way/264100597,0,forward,9580296743,340047774,Rond-Point du Tour de France,secondary,14.79,3209.96,3224.74,True,1823.96,1822.9,-1.06,1.06,0.0,-0.07187,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.092634,6.071848,45.092512,6.071923,,,,,,asphalt,
26,osm-264100598-0-forward,264100598,https://www.openstreetmap.org/way/264100598,0,forward,340047774,364083893,Rond-Point du Tour de France,secondary,3.97,3224.74,3228.72,True,1822.9,1822.67,-0.23,0.23,0.0,-0.05796,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.092512,6.071923,45.092501,6.071971,,,,,,asphalt,
27,osm-28452049-0-forward,28452049,https://www.openstreetmap.org/way/28452049,0,forward,364083893,9580296750,Rond-Point du Tour de France,secondary,17.22,3228.72,3245.94,True,1822.67,1822.73,0.06,-0.0,0.06,0.00348,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.092501,6.071971,45.092596,6.072143,,,,,,asphalt,
28,osm-1040486383-0-forward,1040486383,https://www.openstreetmap.org/way/1040486383,0,forward,9580296750,13258142967,Rond-Point du Tour de France,secondary,2.13,3245.94,3248.07,True,1822.73,1822.85,0.12,-0.0,0.12,0.05647,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.092596,6.072143,45.092616,6.072141,,,,,,asphalt,
29,osm-1040486383-1-forward,1040486383,https://www.openstreetmap.org/way/1040486383,1,forward,13258142967,9580296747,Rond-Point du Tour de France,secondary,11.13,3248.07,3259.2,True,1822.85,1823.73,0.88,-0.0,0.88,0.07932,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.092616,6.072141,45.092699,6.072064,,,,,,asphalt,
30,osm-1040486384-0-forward,1040486384,https://www.openstreetmap.org/way/1040486384,0,forward,9580296747,340047764,Rond-Point du Tour de France,secondary,17.39,3259.2,3276.58,True,1823.73,1824.09,0.36,-0.0,0.36,0.02071,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.092699,6.072064,45.092648,6.071855,,,,,,asphalt,
31,osm-1040486385-0-forward,1040486385,https://www.openstreetmap.org/way/1040486385,0,forward,340047764,9580296743,Rond-Point du Tour de France,secondary,1.68,3276.58,3278.26,True,1824.09,1823.96,-0.13,0.13,0.0,-0.0777,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.092648,6.071855,45.092634,6.071848,,,,,,asphalt,
32,osm-1040486390-0-forward,1040486390,https://www.openstreetmap.org/way/1040486390,0,forward,9580296743,340035215,Avenue de l'Étendard,tertiary,31.79,3278.26,3310.06,True,1823.96,1823.32,-0.64,0.64,0.0,-0.02013,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.092634,6.071848,45.092496,6.071496,,,,,,asphalt,
33,osm-28476170-1-reverse,28476170,https://www.openstreetmap.org/way/28476170,1,reverse,340035215,567541729,Avenue de l'Étendard,tertiary,145.43,3310.06,3455.48,True,1823.32,1822.5,-0.82,0.85,0.03,-0.00564,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.092496,6.071496,45.092485,6.069663,,,,,,asphalt,
34,osm-91229843-6-reverse,91229843,https://www.openstreetmap.org/way/91229843,6,reverse,567541729,1058948959,Promenade Clotaire Collomb,residential,63.61,3455.48,3519.1,True,1822.5,1819.65,-2.85,2.85,0.0,-0.04485,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.092485,6.069663,45.091997,6.069243,,,,,,asphalt,
35,osm-1054770671-0-forward,1054770671,https://www.openstreetmap.org/way/1054770671,0,forward,1058948959,11482790610,Rue de la Grenouillère,residential,52.6,3519.1,3571.69,True,1819.65,1820.18,0.53,-0.0,0.53,0.01008,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.091997,6.069243,45.092165,6.068619,,,,,,asphalt,
36,osm-1054770671-1-forward,1054770671,https://www.openstreetmap.org/way/1054770671,1,forward,11482790610,340035269,Rue de la Grenouillère,residential,35.64,3571.69,3607.34,True,1820.18,1820.15,-0.03,0.03,0.0,-0.00084,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.092165,6.068619,45.092278,6.068195,,,,,,asphalt,
37,osm-28476168-2-forward,28476168,https://www.openstreetmap.org/way/28476168,2,forward,340035269,11482798004,Avenue des Jeux,unclassified,71.78,3607.34,3679.11,True,1820.15,1819.02,-1.13,1.13,0.0,-0.01575,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.092278,6.068195,45.091655,6.067954,,,,,,asphalt,
38,osm-28476168-3-forward,28476168,https://www.openstreetmap.org/way/28476168,3,forward,11482798004,11482815772,Avenue des Jeux,unclassified,105.26,3679.11,3784.37,True,1819.02,1816.38,-2.64,2.64,0.0,-0.02509,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.091655,6.067954,45.090727,6.068084,,,,,,asphalt,
39,osm-28476168-4-forward,28476168,https://www.openstreetmap.org/way/28476168,4,forward,11482815772,312824025,Avenue des Jeux,unclassified,69.49,3784.37,3853.86,True,1816.38,1807.36,-9.02,9.02,0.0,-0.131,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.090727,6.068084,45.090126,6.068301,,,,,,asphalt,
40,osm-119740916-0-forward,119740916,https://www.openstreetmap.org/way/119740916,0,forward,312824025,312824035,Avenue de Brandes,residential,63.97,3853.86,3917.82,True,1807.36,1808.23,0.87,-0.0,0.87,0.0136,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.090126,6.068301,45.090187,6.069107,,,,,,asphalt,
41,osm-119740916-1-forward,119740916,https://www.openstreetmap.org/way/119740916,1,forward,312824035,312353228,Avenue de Brandes,residential,11.24,3917.82,3929.06,True,1808.23,1808.24,0.01,-0.0,0.01,0.00089,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.090187,6.069107,45.090197,6.069249,,,,,,asphalt,
42,osm-28429105-0-forward,28429105,https://www.openstreetmap.org/way/28429105,0,forward,312353228,312353141,tertiary,tertiary,12.95,3929.06,3942.01,True,1808.24,1807.5,-0.74,0.74,0.0,-0.05725,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.090197,6.069249,45.090099,6.069337,,,,,,asphalt,
43,osm-264100601-0-forward,264100601,https://www.openstreetmap.org/way/264100601,0,forward,312353141,312353159,tertiary,tertiary,19.25,3942.01,3961.26,True,1807.5,1808.2,0.7,-0.0,0.7,0.03638,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.090099,6.069337,45.090232,6.069494,,,,,,asphalt,
44,osm-264100602-0-forward,264100602,https://www.openstreetmap.org/way/264100602,0,forward,312353159,312353228,tertiary,tertiary,20.14,3961.26,3981.4,True,1808.2,1808.24,0.04,0.07,0.11,0.00199,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.090232,6.069494,45.090197,6.069249,,,,,,asphalt,
45,osm-28429105-0-forward,28429105,https://www.openstreetmap.org/way/28429105,0,forward,312353228,312353141,tertiary,tertiary,12.95,3981.4,3994.35,True,1808.24,1807.5,-0.74,0.74,0.0,-0.05725,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.090197,6.069249,45.090099,6.069337,,,,,,asphalt,
46,osm-1054770672-0-forward,1054770672,https://www.openstreetmap.org/way/1054770672,0,forward,312353141,312353237,Chemin de la Chapelle,residential,13.82,3994.35,4008.17,True,1807.5,1807.07,-0.43,0.43,0.0,-0.03113,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.090099,6.069337,45.090015,6.069208,,,,,,asphalt,
47,osm-28429107-0-forward,28429107,https://www.openstreetmap.org/way/28429107,0,forward,312353237,10709011021,Chemin de la Chapelle,residential,2.09,4008.17,4010.26,True,1807.07,1806.98,-0.09,0.09,0.0,-0.04311,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.090015,6.069208,45.090005,6.069185,,,,,,asphalt,
48,osm-28429107-1-forward,28429107,https://www.openstreetmap.org/way/28429107,1,forward,10709011021,312353247,Chemin de la Chapelle,residential,95.8,4010.26,4106.05,True,1806.98,1801.01,-5.97,5.97,0.0,-0.06246,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.090005,6.069185,45.089846,6.068016,,,,,,asphalt,
49,osm-28429107-2-forward,28429107,https://www.openstreetmap.org/way/28429107,2,forward,312353247,7066666421,Chemin de la Chapelle,residential,10.35,4106.05,4116.4,True,1801.01,1800.55,-0.46,0.46,0.0,-0.04451,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.089846,6.068016,45.089865,6.067887,,,,,,asphalt,
50,osm-28429107-3-forward,28429107,https://www.openstreetmap.org/way/28429107,3,forward,7066666421,11773098473,Chemin de la Chapelle,residential,149.06,4116.4,4265.46,True,1800.55,1786.07,-14.48,14.48,0.0,-0.09767,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.089865,6.067887,45.090227,6.066078,,,,,,asphalt,
51,osm-28429107-4-forward,28429107,https://www.openstreetmap.org/way/28429107,4,forward,11773098473,12863362628,Chemin de la Chapelle,residential,25.77,4265.46,4291.23,True,1786.07,1782.0,-4.07,4.07,0.0,-0.15998,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.090227,6.066078,45.090283,6.065764,,,,,,asphalt,
52,osm-28429107-5-forward,28429107,https://www.openstreetmap.org/way/28429107,5,forward,12863362628,1342094390,Chemin de la Chapelle,residential,9.53,4291.23,4300.77,True,1782.0,1779.97,-2.03,2.03,0.0,-0.21796,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.090283,6.065764,45.090272,6.065647,,,,,,asphalt,
53,osm-1112039601-0-forward,1112039601,https://www.openstreetmap.org/way/1112039601,0,forward,1342094390,1213608230,Place Joseph Paganon,residential,33.34,4300.77,4334.11,True,1779.97,1777.87,-2.1,2.13,0.03,-0.06319,asphalt_degraded,True,reference_vtc,highway=residential carries no surface tag; sealed is assumed for a classified mainland road and charged the degraded-asphalt scenario,normal,45.090272,6.065647,45.09048,6.065365,,,,,,,
54,osm-119437608-0-forward,119437608,https://www.openstreetmap.org/way/119437608,0,forward,1213608230,251671095,D 211,secondary,20.43,4334.11,4354.54,True,1777.87,1774.97,-2.9,2.9,0.0,-0.1434,asphalt_degraded,True,reference_vtc,highway=secondary carries no surface tag; sealed is assumed for a classified mainland road and charged the degraded-asphalt scenario,normal,45.09048,6.065365,45.090427,6.065119,,,,,,,
55,osm-724628366-0-forward,724628366,https://www.openstreetmap.org/way/724628366,0,forward,251671095,2619567086,D 211,secondary,19.37,4354.54,4373.91,True,1774.97,1774.01,-0.96,0.96,0.0,-0.04962,asphalt_degraded,True,reference_vtc,highway=secondary carries no surface tag; sealed is assumed for a classified mainland road and charged the degraded-asphalt scenario,normal,45.090427,6.065119,45.09045,6.064875,,,,,,,
56,osm-264130580-0-forward,264130580,https://www.openstreetmap.org/way/264130580,0,forward,2619567086,8419912487,D 211,secondary,75.72,4373.91,4449.63,True,1774.01,1774.38,0.37,0.58,0.95,0.00489,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.09045,6.064875,45.090642,6.063959,,,,,,asphalt,
57,osm-93964270-0-forward,93964270,https://www.openstreetmap.org/way/93964270,0,forward,8419912487,9921283822,Chemin de l'Alaska,living_street,25.96,4449.63,4475.59,True,1774.38,1770.23,-4.15,4.15,0.0,-0.16201,asphalt_degraded,True,reference_vtc,highway=living_street carries no surface tag; sealed is assumed for a classified mainland road and charged the degraded-asphalt scenario,normal,45.090642,6.063959,45.090444,6.063793,,,,,,,
58,osm-105506488-2-reverse,105506488,https://www.openstreetmap.org/way/105506488,2,reverse,9921283822,1092372694,Rue du Vieil Alpe,living_street,36.27,4475.59,4511.87,True,1770.23,1769.77,-0.46,0.46,0.0,-0.01268,asphalt_degraded,True,reference_vtc,highway=living_street carries no surface tag; sealed is assumed for a classified mainland road and charged the degraded-asphalt scenario,normal,45.090444,6.063793,45.090328,6.064224,,,,,,,
59,osm-105506488-1-reverse,105506488,https://www.openstreetmap.org/way/105506488,1,reverse,1092372694,1092372566,Rue du Vieil Alpe,living_street,22.14,4511.87,4534.0,True,1769.77,1770.63,0.86,-0.0,0.86,0.03888,asphalt_degraded,True,reference_vtc,highway=living_street carries no surface tag; sealed is assumed for a classified mainland road and charged the degraded-asphalt scenario,normal,45.090328,6.064224,45.090312,6.064504,,,,,,,
60,osm-93964252-1-reverse,93964252,https://www.openstreetmap.org/way/93964252,1,reverse,1092372566,1092372702,unclassified,unclassified,15.7,4534.0,4549.7,True,1770.63,1768.85,-1.78,1.78,0.0,-0.1141,asphalt_degraded,True,reference_vtc,highway=unclassified carries no surface tag; sealed is assumed for a classified mainland road and charged the degraded-asphalt scenario,normal,45.090312,6.064504,45.090172,6.064514,,,,,,,
61,osm-93964252-0-reverse,93964252,https://www.openstreetmap.org/way/93964252,0,reverse,1092372702,1092372508,unclassified,unclassified,34.46,4549.7,4584.16,True,1768.85,1766.73,-2.12,2.12,0.0,-0.06165,asphalt_degraded,True,reference_vtc,highway=unclassified carries no surface tag; sealed is assumed for a classified mainland road and charged the degraded-asphalt scenario,normal,45.090172,6.064514,45.089869,6.064604,,,,,,,
62,osm-1054770663-0-forward,1054770663,https://www.openstreetmap.org/way/1054770663,0,forward,1092372508,1214614638,Avenue de l'Eclose,residential,7.59,4584.16,4591.76,True,1766.73,1765.82,-0.91,0.91,0.0,-0.12072,asphalt_degraded,True,reference_vtc,highway=residential carries no surface tag; sealed is assumed for a classified mainland road and charged the degraded-asphalt scenario,normal,45.089869,6.064604,45.089832,6.064523,,,,,,,
63,osm-1054770667-0-forward,1054770667,https://www.openstreetmap.org/way/1054770667,0,forward,1214614638,312353288,Avenue de l'Eclose,residential,35.13,4591.76,4626.89,True,1765.82,1761.96,-3.86,3.86,0.0,-0.11055,asphalt_degraded,True,reference_vtc,highway=residential carries no surface tag; sealed is assumed for a classified mainland road and charged the degraded-asphalt scenario,normal,45.089832,6.064523,45.089658,6.064153,,,,,,,
64,osm-264100532-0-forward,264100532,https://www.openstreetmap.org/way/264100532,0,forward,312353288,312353289,Avenue de l'Eclose,residential,4.46,4626.89,4631.34,True,1761.96,1761.47,-0.49,0.49,0.0,-0.11062,asphalt_degraded,True,reference_vtc,highway=residential carries no surface tag; sealed is assumed for a classified mainland road and charged the degraded-asphalt scenario,normal,45.089658,6.064153,45.089655,6.064097,,,,,,,
65,osm-105500354-0-forward,105500354,https://www.openstreetmap.org/way/105500354,0,forward,312353289,1215040529,Rue des Sagnes,residential,173.8,4631.34,4805.14,True,1761.47,1725.13,-36.34,36.34,0.0,-0.21397,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.089655,6.064097,45.089709,6.061972,,,,,,asphalt,
66,osm-1010059118-0-forward,1010059118,https://www.openstreetmap.org/way/1010059118,0,forward,1215040529,1215039793,Rue des Sagnes,residential,98.29,4805.14,4903.43,True,1725.13,1720.37,-4.76,5.33,0.57,-0.04857,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.089709,6.061972,45.090161,6.060924,,,,,,asphalt,
67,osm-105500342-0-reverse,105500342,https://www.openstreetmap.org/way/105500342,0,reverse,1215039793,251671074,Rue des Sagnes,residential,388.47,4903.43,5291.9,True,1720.37,1709.79,-10.58,14.14,3.56,-0.02728,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.090161,6.060924,45.091385,6.056484,,,,,,asphalt,
68,osm-724634109-5-forward,724634109,https://www.openstreetmap.org/way/724634109,5,forward,251671074,6796050639,D 211,secondary,9.75,5291.9,5301.65,True,1709.79,1708.61,-1.18,1.18,0.0,-0.12197,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.091385,6.056484,45.091354,6.056599,,,,,,asphalt,
69,osm-1462422580-0-forward,1462422580,https://www.openstreetmap.org/way/1462422580,0,forward,6796050639,9389660910,D 211,secondary,125.17,5301.65,5426.83,True,1708.61,1697.15,-11.46,11.46,0.0,-0.09196,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.091354,6.056599,45.090769,6.057942,,,,,,asphalt,
70,osm-1462422580-1-forward,1462422580,https://www.openstreetmap.org/way/1462422580,1,forward,9389660910,9389660886,D 211,secondary,42.24,5426.83,5469.06,True,1697.15,1692.94,-4.21,4.21,0.0,-0.10018,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.090769,6.057942,45.090522,6.058346,,,,,,asphalt,
71,osm-1462422580-2-forward,1462422580,https://www.openstreetmap.org/way/1462422580,2,forward,9389660886,9389660853,D 211,secondary,134.58,5469.06,5603.65,True,1692.94,1679.27,-13.67,13.67,0.0,-0.10211,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.090522,6.058346,45.089667,6.059543,,,,,,asphalt,
72,osm-264100584-0-forward,264100584,https://www.openstreetmap.org/way/264100584,0,forward,9389660853,9389660862,D 211,secondary,51.97,5603.65,5655.62,True,1679.27,1674.61,-4.66,4.66,0.0,-0.09003,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.089667,6.059543,45.089285,6.05992,,,,,,asphalt,
73,osm-264100584-1-forward,264100584,https://www.openstreetmap.org/way/264100584,1,forward,9389660862,251671067,D 211,secondary,73.92,5655.62,5729.54,True,1674.61,1670.13,-4.48,4.48,0.0,-0.06074,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.089285,6.05992,45.088754,6.060477,,,,,,asphalt,
74,osm-264100584-2-forward,264100584,https://www.openstreetmap.org/way/264100584,2,forward,251671067,312348670,D 211,secondary,622.67,5729.54,6352.21,True,1670.13,1613.47,-56.66,56.66,0.0,-0.09143,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.088754,6.060477,45.087687,6.057829,,,,,,asphalt,
